ScenarioKey,FY2030 Net$,Δ FY2030 vs A_lease ($/std),Displaced ADM,FY2030 Served
A_Repurpose_Both_lease,2734.6947682168743,0.0,553.0,414.75
A_Repurpose_Both_ops,4074.252404127867,1339.5576359109928,553.0,414.75
C_Repurpose_Pima_ops_EchoGHub_EchoTargets,4133.920247050609,1399.2254788337345,296.0,679.0
C_Repurpose_Pima_lease_EchoGHub_EchoTargets,4287.323460323515,1552.6286921066408,296.0,479.0
B_Repurpose_Echo_ops_PimaTargets,4373.058501915516,1638.3637336986417,257.0,638.75
F_CoLocation_Echo_Targets,4391.52576715236,1656.8309989354852,0.0,703.0
B_Repurpose_Echo_lease_PimaTargets,4487.263012719331,1752.5682445024563,257.0,488.75
D_Grow_Both_Targets,4585.885085546433,1851.190317329559,0.0,803.0
D_CUSTOM2,4585.885085546433,1851.190317329559,0.0,803.0
G_EchoGHubRamp_PimaTargets,4913.9468935330115,2179.252125316137,0.0,703.0
D_CUSTOM1,5628.504665178279,2893.8098969614043,0.0,553.0
E_StatusQuo_Targets,5628.504665178279,2893.8098969614043,0.0,553.0
