ScenarioKey,FY2028 Net$,FY2030 Net$,5-yr Net Avg$,Displaced ADM,FY2030 Served
A_Repurpose_Both_lease,3620.431303259999,2734.6947682168743,4819.758566456283,553.0,414.75
A_Repurpose_Both_ops,4257.936424454999,4074.252404127867,5553.254886710781,553.0,414.75
C_Repurpose_Pima_ops_EchoGHub_EchoTargets,4024.1229382463316,4133.920247050609,4425.085791168652,296.0,679.0
C_Repurpose_Pima_lease_EchoGHub_EchoTargets,4524.539517137724,4287.323460323515,5047.407689105863,296.0,479.0
B_Repurpose_Echo_ops_PimaTargets,4240.8616724335825,4373.058501915516,4660.848047325279,257.0,638.75
F_CoLocation_Echo_Targets,4128.145830322295,4391.52576715236,4131.821064651542,0.0,703.0
B_Repurpose_Echo_lease_PimaTargets,4640.965931591537,4487.263012719331,5151.240276175933,257.0,488.75
D_Grow_Both_Targets,4313.139827603984,4585.885085546433,4316.92787690733,0.0,803.0
D_CUSTOM2,4313.139827603984,4585.885085546433,4316.92787690733,0.0,803.0
G_EchoGHubRamp_PimaTargets,4625.393779286627,4913.9468935330115,4745.990699543765,0.0,703.0
D_CUSTOM1,5305.520153249999,5628.504665178279,5309.913386301904,0.0,553.0
E_StatusQuo_Targets,5305.520153249999,5628.504665178279,5309.913386301904,0.0,553.0
